napetost,0,0.2,0.4,0.6,0.8,1,1.5,2,2.5,3,3.5,4,4.5,5
tok-žarnica,0,23,36,42,48,54,68,79,90,99,108,117,124,132
tok-82ohm-upornik,0,1.5,4,6.5,9,11,18,24,30,36,43,49,55,61
